docKey,domain,title,control_id,control_description
1,Audit & Assurance,Audit and Assurance Policy and Procedures,A&A-01,"Establish, document, approve, communicate, apply, evaluate and maintain audit and assurance policies and procedures and standards. Review and update the policies and procedures at least annually."
2,Audit & Assurance,Independent Assessments,A&A-02,Conduct independent audit and assurance assessments according to relevant standards at least annually.
3,Audit & Assurance,Risk Based Planning Assessment,A&A-03,Perform independent audit and assurance assessments according to risk-based plans and policies.
4,Audit & Assurance,"
Requirements Compliance",A&A-04,"Verify compliance with all relevant standards, regulations, legal/contractual, and statutory requirements applicable to the audit."
5,Audit & Assurance,Audit Management Process,A&A-05,"Define and implement an Audit Management process to support audit planning, risk analysis, security control assessment, conclusion, remediation schedules, report generation, and review of past reports and supporting evidence."
6,Audit & Assurance,Remediation,A&A-06,"Establish, document, approve, communicate, apply, evaluate and maintain a risk-based corrective action plan to remediate audit findings, review and report remediation status to relevant stakeholders."
7,Application & Interface Security,Application and Interface Security Policy and Procedures,AIS-01,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for application security to provide guidance to the appropriate planning, delivery and support of the organization's application security capabilities. Review and update the policies and procedures at least annually."
8,Application & Interface Security,Application Security Baseline Requirements,AIS-02,"Establish, document and maintain baseline requirements for securing different applications."
9,Application & Interface Security,Application Security Metrics,AIS-03,"Define and implement technical and operational metrics in alignment with business objectives, security requirements, and compliance obligations."
10,Application & Interface Security,Secure Application Design and Development,AIS-04,"Define and implement a SDLC process for application design, development, deployment, and operation in accordance with security requirements defined by the organization."
11,Application & Interface Security,Automated Application Security Testing,AIS-05,"Implement a testing strategy, including criteria for acceptance of new information systems, upgrades and new versions, which provides application security assurance and maintains compliance while enabling organizational speed of delivery goals. Automate when applicable and possible."
12,Application & Interface Security,Automated Secure Application Deployment,AIS-06,"Establish and implement strategies and capabilities for secure, standardized, and compliant application deployment. Automate where possible."
13,Application & Interface Security,Application Vulnerability Remediation,AIS-07,"Define and implement a process to remediate application security vulnerabilities, automating remediation when possible."
14,Business Continuity Management & Operational Resilience,Business Continuity Management Policy and Procedures,BCR-01,"Establish, document, approve, communicate, apply, evaluate and maintain business continuity management and operational resilience policies and procedures. Review and update the policies and procedures at least annually."
15,Business Continuity Management & Operational Resilience,Risk Assessment and Impact Analysis,BCR-02,Determine the impact of business disruptions and risks to establish criteria for developing business continuity and operational resilience strategies and capabilities.
16,Business Continuity Management & Operational Resilience,Business Continuity Strategy,BCR-03,"Establish strategies to reduce the impact of, withstand, and recover from business disruptions within risk appetite."
17,Business Continuity Management & Operational Resilience,Business Continuity Planning,BCR-04,"Establish, document, approve, communicate, apply, evaluate and maintain a business continuity plan based on the results of the operational resilience strategies and capabilities."
18,Business Continuity Management & Operational Resilience,Documentation,BCR-05,"Develop, identify, and acquire documentation that is relevant to support the business continuity and operational resilience programs. Make the documentation available to authorized stakeholders and review periodically."
19,Business Continuity Management & Operational Resilience,Business Continuity Exercises,BCR-06,Exercise and test business continuity and operational resilience plans at least annually or upon significant changes.
20,Business Continuity Management & Operational Resilience,Communication,BCR-07,Establish communication with stakeholders and participants in the course of business continuity and resilience procedures.
21,Business Continuity Management & Operational Resilience,Backup,BCR-08,"Periodically backup data stored in the cloud. Ensure the confidentiality, integrity and availability of the backup, and verify data restoration from backup for resiliency."
22,Business Continuity Management & Operational Resilience,Disaster Response Plan,BCR-09,"Establish, document, approve, communicate, apply, evaluate and maintain a disaster response plan to recover from natural and man-made disasters. Update the plan at least annually or upon significant changes."
23,Business Continuity Management & Operational Resilience,Response Plan Exercise,BCR-10,"Exercise the disaster response plan annually or upon significant changes, including if possible local emergency authorities."
24,Business Continuity Management & Operational Resilience,Equipment Redundancy,BCR-11,Supplement business-critical equipment with redundant equipment independently located at a reasonable minimum distance in accordance with applicable industry standards.
25,Change Control & Configuration Management,Change Management Policy and Procedures,CCC-01,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for managing the risks associated with applying changes to organization assets, including application, systems, infrastructure, configuration, etc., regardless of whether the assets are managed internally or externally (i.e., outsourced). Review and update the policies and procedures at least annually."
26,Change Control & Configuration Management,Quality Testing,CCC-02,"Follow a defined quality change control, approval and testing process with established baselines, testing, and release standards."
27,Change Control & Configuration Management,Change Management Technology,CCC-03,"Manage the risks associated with applying changes to organization assets, including application, systems, infrastructure, configuration, etc., regardless of whether the assets are managed internally or externally (i.e., outsourced)."
28,Change Control & Configuration Management,Unauthorized Change Protection,CCC-04,"Restrict the unauthorized addition, removal, update, and management of organization assets."
29,Change Control & Configuration Management,Change Agreements,CCC-05,Include provisions limiting changes directly impacting CSCs owned environments/tenants to explicitly authorized requests within service level agreements between CSPs and CSCs.
30,Change Control & Configuration Management,Change Management Baseline,CCC-06,Establish change management baselines for all relevant authorized changes on organization assets.
31,Change Control & Configuration Management,Detection of Baseline Deviation,CCC-07,Implement detection measures with proactive notification in case of changes deviating from the established baseline.
32,Change Control & Configuration Management,Exception Management ,CCC-08,"Implement a procedure for the management of exceptions, including emergencies, in the change and configuration process. Align the procedure with the requirements of GRC-04: Policy Exception Process."
33,Change Control & Configuration Management,Change Restoration,CCC-09,Define and implement a process to proactively roll back changes to a previous known good state in case of errors or security concerns.
34,"Cryptography, Encryption & Key Management",Encryption and Key Management Policy and Procedures,CEK-01,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for Cryptography, Encryption and Key Management. Review and update the policies and procedures at least annually."
35,"Cryptography, Encryption & Key Management",CEK Roles and Responsibilities,CEK-02,"Define and implement cryptographic, encryption and key management roles and responsibilities."
36,"Cryptography, Encryption & Key Management",Data Encryption,CEK-03,"Provide cryptographic protection to data at-rest and in-transit, using cryptographic libraries certified to approved standards."
37,"Cryptography, Encryption & Key Management",Encryption Algorithm,CEK-04,"Use encryption algorithms that are appropriate for data protection, considering the classification of data, associated risks, and usability of the encryption technology."
38,"Cryptography, Encryption & Key Management",Encryption Change Management,CEK-05,"Establish a standard change management procedure, to accommodate changes from internal and external sources, for review, approval, implementation and communication of cryptographic, encryption and key management technology changes."
