dockey,control_id,control_name,mapping_type,technique_id,technique_name,mapping_description
1,CA-8,Penetration Testing,mitigates,T1078,Valid Accounts,
2,IA-5,Authenticator Management,mitigates,T1078,Valid Accounts,
3,PL-8,Information Security Architecture,mitigates,T1078,Valid Accounts,
4,RA-5,Vulnerability Scanning,mitigates,T1078,Valid Accounts,
5,SA-3,System Development Life Cycle,mitigates,T1078,Valid Accounts,
6,SA-4,Acquisition Process,mitigates,T1078,Valid Accounts,
7,SA-8,Security Engineering Principles,mitigates,T1078,Valid Accounts,
8,SA-10,Developer Configuration Management,mitigates,T1078,Valid Accounts,
9,SA-11,Developer Security Testing And Evaluation,mitigates,T1078,Valid Accounts,
10,SA-12,Supply Chain Protection,mitigates,T1078,Valid Accounts,
11,SA-15,"Development Process, Standards, And Tools",mitigates,T1078,Valid Accounts,
12,SA-16,Developer-Provided Training,mitigates,T1078,Valid Accounts,
13,SA-17,Developer Security Architecture And Design,mitigates,T1078,Valid Accounts,
14,SC-28,Protection Of Information At Rest,mitigates,T1078,Valid Accounts,
15,AC-2,Account Management,mitigates,T1003.005,Cached Domain Credentials,
16,AC-2,Account Management,mitigates,T1003.006,DCSync,
17,AC-2,Account Management,mitigates,T1003,OS Credential Dumping,
18,AC-4,Information Flow Enforcement,mitigates,T1003.005,Cached Domain Credentials,
19,AC-4,Information Flow Enforcement,mitigates,T1003.006,DCSync,
20,AC-4,Information Flow Enforcement,mitigates,T1003,OS Credential Dumping,
21,AC-5,Separation Of Duties,mitigates,T1003.005,Cached Domain Credentials,
22,AC-5,Separation Of Duties,mitigates,T1003.006,DCSync,
23,AC-5,Separation Of Duties,mitigates,T1003,OS Credential Dumping,
24,AC-6,Least Privilege,mitigates,T1003.005,Cached Domain Credentials,
25,AC-6,Least Privilege,mitigates,T1003.006,DCSync,
26,AC-6,Least Privilege,mitigates,T1003,OS Credential Dumping,
27,CM-2,Baseline Configuration,mitigates,T1003.005,Cached Domain Credentials,
28,CM-2,Baseline Configuration,mitigates,T1003.006,DCSync,
29,CM-2,Baseline Configuration,mitigates,T1003,OS Credential Dumping,
30,CM-6,Configuration Settings,mitigates,T1003.005,Cached Domain Credentials,
31,CM-6,Configuration Settings,mitigates,T1003.006,DCSync,
32,CM-6,Configuration Settings,mitigates,T1003,OS Credential Dumping,
33,IA-2,Identification And Authentication (Organizational Users),mitigates,T1003.005,Cached Domain Credentials,
34,IA-2,Identification And Authentication (Organizational Users),mitigates,T1003.006,DCSync,
35,IA-2,Identification And Authentication (Organizational Users),mitigates,T1003,OS Credential Dumping,
36,IA-4,Identifier Management,mitigates,T1003.005,Cached Domain Credentials,
37,IA-4,Identifier Management,mitigates,T1003.006,DCSync,
38,IA-4,Identifier Management,mitigates,T1003,OS Credential Dumping,
